id_pelanggan,nama_lengkap,nomor_telepon,email,alamat_lengkap,kota,provinsi,kode_pos,jenis_pelanggan,segmen,tanggal_registrasi,total_transaksi,total_nilai_pembelian,status,sumber_awal
C036,Lina Pratama,088412783224,lina.pratama@outlook.com,Jl. Raya No.124,Tangerang,Banten,15310,Individu,Retail,2025-08-10,5,3358620,Tidak Aktif,WhatsApp
C037,Budi Putra,085941503875,budi.putra@gmail.com,Jl. Utama No.150,Bogor,Jawa Barat,16110,Individu,Retail,2024-06-23,2,1163230,Aktif,TikTok
C038,Yuni Wijaya,087957854549,yuni.wijaya@gmail.com,Jl. Melati No.80,Jakarta Timur,DKI Jakarta,13220,Individu,Retail,2024-12-08,1,589356,Tidak Aktif,Instagram
C039,Nur Lestari,088687753354,nur.lestari@outlook.com,Jl. Raya No.93,Depok,Jawa Barat,16400,Individu,Retail,2025-07-20,1,188222,Aktif,Referensi
C040,Rizki Santoso,084994050011,rizki.santoso@yahoo.com,Jl. Anggrek No.62,Depok,Jawa Barat,16400,Individu,Retail,2025-10-16,1,336169,Aktif,Website
C041,Fitri Dewi,087390509919,fitri.dewi@gmail.com,Jl. Melati No.116,Jakarta Selatan,DKI Jakarta,12160,Individu,Retail,2024-09-06,1,154228,Tidak Aktif,WhatsApp
C042,Doni Dewi,089506709149,doni.dewi@outlook.com,Jl. Utama No.56,Jakarta Selatan,DKI Jakarta,12160,Individu,Retail,2025-01-20,2,467432,Tidak Aktif,Referensi
C043,Nur Dewi,088445796551,nur.dewi@yahoo.com,Jl. Raya No.107,Depok,Jawa Barat,16400,Individu,Retail,2025-03-14,3,1150443,Aktif,Referensi
C044,Diah Setiawan,085221340763,diah.setiawan@gmail.com,Jl. Raya No.24,Bekasi,Jawa Barat,17510,Individu,Retail,2024-07-01,2,1582422,Aktif,Website
C045,Putri Dewi,081501654962,putri.dewi@yahoo.com,Jl. Mawar No.125,Tangerang,Banten,15310,Individu,Retail,2025-09-23,2,1175496,Aktif,Instagram
C046,Wati Santoso,085987436973,wati.santoso@gmail.com,Jl. Melati No.68,Jakarta Selatan,DKI Jakarta,12160,Individu,Retail,2025-10-16,1,427097,Aktif,TikTok
C047,Yanto Nugroho,085858153492,yanto.nugroho@outlook.com,Jl. Raya No.84,Tangerang,Banten,15310,Individu,Retail,2025-03-25,2,645404,Aktif,WhatsApp
C048,Rahmat Lestari,089211680455,rahmat.lestari@outlook.com,Jl. Raya No.14,Depok,Jawa Barat,16400,Individu,Retail,2025-02-19,1,184887,Aktif,Website
C049,Faisal Setiawan,085876522617,faisal.setiawan@gmail.com,Jl. Anggrek No.61,Jakarta Selatan,DKI Jakarta,12160,Individu,Retail,2025-08-30,1,392753,Aktif,WhatsApp
C050,Rizki Rahayu,087308232151,rizki.rahayu@outlook.com,Jl. Melati No.96,Bekasi,Jawa Barat,17510,Individu,Retail,2024-12-17,3,2094462,Aktif,Marketplace
C051,Dewi Sari,083984654775,dewi.sari@yahoo.com,Jl. Raya No.17,Bandung,Jawa Barat,40115,Individu,Retail,2025-07-15,1,755215,Aktif,Website
C052,Hendra Permana,088308523425,hendra.permana@yahoo.com,Jl. Mawar No.59,Tangerang,Banten,15310,Individu,Retail,2025-10-09,4,1516912,Aktif,TikTok
C053,Maya Nugroho,087448766081,maya.nugroho@yahoo.com,Jl. Anggrek No.120,Tangerang,Banten,15310,Individu,Retail,2024-09-05,2,863296,Aktif,TikTok
C054,Putri Kusuma,084887189612,putri.kusuma@yahoo.com,Jl. Sentosa No.135,Tangerang,Banten,15310,Individu,Retail,2025-01-17,1,766259,Aktif,Instagram
C055,Siti Nugroho,084550666955,siti.nugroho@gmail.com,Jl. Sentosa No.133,Tangerang,Banten,15310,Individu,Retail,2025-04-02,1,283527,Tidak Aktif,Referensi
C056,Ahmad Lestari,081268552187,ahmad.lestari@outlook.com,Jl. Sentosa No.95,Tangerang,Banten,15310,Individu,Retail,2024-11-02,1,253147,Aktif,TikTok
C057,Wati Kusuma,087375193858,wati.kusuma@gmail.com,Jl. Sentosa No.132,Depok,Jawa Barat,16400,Individu,Retail,2024-10-18,1,166301,Aktif,Marketplace
C058,Tuti Firmansyah,081585342084,tuti.firmansyah@outlook.com,Jl. Utama No.27,Jakarta Timur,DKI Jakarta,13220,Individu,Retail,2024-09-27,1,639058,Aktif,Instagram
C059,Agus Hidayat,088232314809,agus.hidayat@gmail.com,Jl. Sentosa No.45,Tangerang,Banten,15310,Individu,Retail,2025-08-31,6,2970858,Aktif,Instagram
C060,Joko Putri,089867652326,joko.putri@outlook.com,Jl. Anggrek No.23,Depok,Jawa Barat,16400,Individu,Retail,2024-12-07,1,286814,Aktif,Instagram
C061,Fitri Hidayat,088663804091,fitri.hidayat@yahoo.com,Jl. Mawar No.80,Depok,Jawa Barat,16400,Individu,Retail,2024-05-15,3,1993860,Tidak Aktif,Instagram
C062,Yanto Wati,081304845683,yanto.wati@yahoo.com,Jl. Anggrek No.110,Jakarta Selatan,DKI Jakarta,12160,Individu,Retail,2025-02-20,2,977082,Aktif,WhatsApp
C063,Indah Wati,087033184194,indah.wati@gmail.com,Jl. Sentosa No.141,Depok,Jawa Barat,16400,Individu,Retail,2025-03-24,1,506073,Aktif,WhatsApp
C064,Tono Lestari,085855920364,tono.lestari@outlook.com,Jl. Raya No.5,Depok,Jawa Barat,16400,Individu,Retail,2025-10-11,1,159476,Aktif,Website
C065,Tono Hidayat,089713755184,tono.hidayat@outlook.com,Jl. Anggrek No.46,Depok,Jawa Barat,16400,Individu,Retail,2024-12-02,2,1423132,Aktif,Referensi
C066,Endang Santoso,085240442125,endang.santoso@gmail.com,Jl. Anggrek No.149,Tangerang,Banten,15310,Individu,Retail,2024-12-25,6,2343852,Aktif,Marketplace
C067,Eko Wati,082604232183,eko.wati@gmail.com,Jl. Utama No.44,Depok,Jawa Barat,16400,Individu,Retail,2024-10-11,3,939192,Aktif,Instagram
C068,Muhammad Permana,081195149443,muhammad.permana@gmail.com,Jl. Raya No.20,Jakarta Selatan,DKI Jakarta,12160,Individu,Retail,2024-09-27,1,726479,Aktif,Referensi
C069,Bambang Santoso,083359245267,bambang.santoso@gmail.com,Jl. Mawar No.120,Jakarta Timur,DKI Jakarta,13220,Individu,Retail,2024-12-24,1,387074,Aktif,WhatsApp
C070,Bambang Wati,082505157195,bambang.wati@outlook.com,Jl. Melati No.2,Depok,Jawa Barat,16400,Individu,Retail,2024-05-12,1,167723,Tidak Aktif,WhatsApp
C071,Hendra Sari,083348493541,hendra.sari@outlook.com,Jl. Raya No.15,Tangerang,Banten,15310,Individu,Retail,2024-11-20,3,2041881,Aktif,TikTok
C072,Andi Setiawan,087639906641,andi.setiawan@outlook.com,Jl. Utama No.106,Tangerang,Banten,15310,Individu,Retail,2024-05-12,1,221852,Aktif,TikTok
C073,Muhammad Wati,082800532449,muhammad.wati@gmail.com,Jl. Sentosa No.12,Depok,Jawa Barat,16400,Individu,Retail,2024-06-11,2,1300480,Aktif,Website
C074,Wahyu Kusuma,086164373027,wahyu.kusuma@yahoo.com,Jl. Mawar No.98,Jakarta Barat,DKI Jakarta,11220,Individu,Retail,2025-04-29,1,649888,Aktif,Instagram
C075,Fitri Wati,082439770110,fitri.wati@yahoo.com,Jl. Melati No.16,Jakarta Selatan,DKI Jakarta,12160,Individu,Retail,2024-06-26,2,562714,Aktif,TikTok
C076,Diah Permana,081523437993,diah.permana@outlook.com,Jl. Utama No.61,Jakarta Selatan,DKI Jakarta,12160,Individu,Retail,2024-05-18,1,350020,Aktif,WhatsApp
C077,Andi Wati,083236900338,andi.wati@outlook.com,Jl. Sentosa No.27,Depok,Jawa Barat,16400,Individu,Retail,2025-10-05,1,186105,Aktif,TikTok
C078,Mega Putri,084695234050,mega.putri@gmail.com,Jl. Raya No.67,Tangerang,Banten,15310,Individu,Retail,2024-11-18,6,3342378,Aktif,Website
C079,Irwan Santoso,088772332531,irwan.santoso@yahoo.com,Jl. Sentosa No.54,Tangerang,Banten,15310,Individu,Retail,2025-08-18,3,2291103,Aktif,Marketplace
C080,Lina Dewi,085195718279,lina.dewi@yahoo.com,Jl. Sentosa No.100,Depok,Jawa Barat,16400,Individu,Retail,2024-07-05,1,597016,Aktif,WhatsApp
C081,Muhammad Permana,085538493798,muhammad.permana@gmail.com,Jl. Raya No.13,Depok,Jawa Barat,16400,Individu,Retail,2024-11-24,1,404089,Aktif,Marketplace
C082,Tono Dewi,084285279125,tono.dewi@yahoo.com,Jl. Sentosa No.6,Depok,Jawa Barat,16400,Individu,Retail,2025-01-22,1,792822,Aktif,Referensi
C083,Siti Firmansyah,081086352171,siti.firmansyah@gmail.com,Jl. Utama No.1,Depok,Jawa Barat,16400,Individu,Retail,2024-08-19,1,267116,Aktif,Referensi
C084,Endang Lestari,087490171185,endang.lestari@gmail.com,Jl. Melati No.15,Depok,Jawa Barat,16400,Individu,Retail,2025-09-18,1,219642,Aktif,Referensi
C085,Putri Rahayu,082396941569,putri.rahayu@gmail.com,Jl. Anggrek No.125,Depok,Jawa Barat,16400,Individu,Retail,2024-06-15,1,623109,Aktif,Website
C086,Endang Rahayu,081364708466,endang.rahayu@gmail.com,Jl. Melati No.46,Depok,Jawa Barat,16400,Individu,Retail,2024-12-29,1,762830,Aktif,Referensi
C087,Tono Dewi,087079502765,tono.dewi@gmail.com,Jl. Mawar No.43,Jakarta Selatan,DKI Jakarta,12160,Individu,Retail,2025-09-21,1,301934,Tidak Aktif,Instagram
C088,Nur Rahayu,084605315022,nur.rahayu@outlook.com,Jl. Sentosa No.1,Depok,Jawa Barat,16400,Individu,Retail,2024-12-14,1,511188,Aktif,Instagram
C089,Ayu Kusuma,083284794288,ayu.kusuma@yahoo.com,Jl. Mawar No.96,Tangerang,Banten,15310,Individu,Retail,2025-04-02,1,270494,Aktif,Referensi
C090,Hendra Wijaya,084716878682,hendra.wijaya@yahoo.com,Jl. Utama No.40,Jakarta Selatan,DKI Jakarta,12160,Individu,Retail,2024-05-09,3,2347509,Tidak Aktif,Marketplace
C091,Endang Santoso,087030846739,endang.santoso@gmail.com,Jl. Sentosa No.68,Bandung,Jawa Barat,40115,Individu,Retail,2024-06-15,2,472622,Aktif,Website
C092,Ratna Putri,083569481581,ratna.putri@gmail.com,Jl. Sentosa No.45,Jakarta Selatan,DKI Jakarta,12160,Individu,Retail,2024-11-17,1,614553,Tidak Aktif,Marketplace
C093,Tuti Dewi,089580600630,tuti.dewi@gmail.com,Jl. Mawar No.74,Depok,Jawa Barat,16400,Individu,Retail,2024-07-12,1,200811,Aktif,WhatsApp
C094,Rizki Wijaya,081676089344,rizki.wijaya@yahoo.com,Jl. Sentosa No.43,Depok,Jawa Barat,16400,Individu,Retail,2025-08-19,2,1285432,Aktif,Referensi
C095,Ayu Dewi,086416331040,ayu.dewi@yahoo.com,Jl. Mawar No.51,Depok,Jawa Barat,16400,Individu,Retail,2024-11-17,1,619965,Aktif,Referensi
C096,Sri Hidayat,082033546059,sri.hidayat@yahoo.com,Jl. Sentosa No.65,Depok,Jawa Barat,16400,Individu,Retail,2025-07-12,2,357512,Aktif,Referensi
C097,Bambang Wijaya,088172346939,bambang.wijaya@yahoo.com,Jl. Mawar No.63,Depok,Jawa Barat,16400,Individu,Retail,2025-09-06,1,689519,Aktif,TikTok
C098,Mega Pratama,089863586952,mega.pratama@yahoo.com,Jl. Utama No.91,Depok,Jawa Barat,16400,Individu,Retail,2024-08-03,8,1272696,Aktif,Website
C099,Tono Setiawan,084143658780,tono.setiawan@gmail.com,Jl. Raya No.58,Bandung,Jawa Barat,40115,Individu,Retail,2024-06-21,1,732893,Aktif,Marketplace
C100,Hendra Putri,081809265445,hendra.putri@yahoo.com,Jl. Melati No.65,Depok,Jawa Barat,16400,Individu,Retail,2024-05-18,1,525429,Aktif,TikTok
C101,Tuti Kusuma,086352396145,tuti.kusuma@outlook.com,Jl. Anggrek No.25,Tangerang,Banten,15310,Individu,Retail,2025-05-23,6,3561060,Aktif,Instagram
C102,Rizki Hidayat,089813742101,rizki.hidayat@gmail.com,Jl. Mawar No.127,Jakarta Selatan,DKI Jakarta,12160,Individu,Retail,2025-07-29,1,386316,Aktif,TikTok
C103,Hadi Kusuma,084973929860,hadi.kusuma@outlook.com,Jl. Raya No.10,Jakarta Selatan,DKI Jakarta,12160,Individu,Retail,2024-11-08,3,2004711,Tidak Aktif,Website
C104,Ayu Hidayat,089500479099,ayu.hidayat@outlook.com,Jl. Melati No.11,Bekasi,Jawa Barat,17510,Individu,Retail,2025-05-15,1,323888,Aktif,Referensi
C105,Sari Rahayu,084225041724,sari.rahayu@outlook.com,Jl. Utama No.53,Depok,Jawa Barat,16400,Individu,Retail,2025-08-26,1,366108,Aktif,TikTok
C106,Endang Permana,084321222362,endang.permana@outlook.com,Jl. Utama No.50,Depok,Jawa Barat,16400,Individu,Retail,2024-05-21,1,662091,Aktif,Referensi
C107,Sri Pratama,088766229416,sri.pratama@outlook.com,Jl. Mawar No.86,Depok,Jawa Barat,16400,Individu,Retail,2025-02-25,1,309475,Aktif,TikTok
C108,Maya Lestari,082833956565,maya.lestari@yahoo.com,Jl. Mawar No.24,Depok,Jawa Barat,16400,Individu,Retail,2024-09-24,1,779288,Aktif,Instagram
C109,UD Ahmad Sari,083093593073,ahmad.sari@outlook.com,Jl. Sentosa No.127,Depok,Jawa Barat,16400,Bisnis,UMKM,2024-07-24,8,4033976,Aktif,Marketplace
C110,Toko Mega Putri,085948488926,.mega.putri@outlook.com,Jl. Melati No.41,Depok,Jawa Barat,16400,Bisnis,UMKM,2025-02-03,2,1081736,Aktif,Marketplace
C111,CV Sari Kusuma,086416309459,sari.kusuma@outlook.com,Jl. Raya No.69,Tangerang,Banten,15310,Bisnis,UMKM,2025-02-21,3,624066,Aktif,Instagram
C112,UD Hendra Pratama,082545993342,hendra.pratama@outlook.com,Jl. Sentosa No.63,Tangerang,Banten,15310,Bisnis,UMKM,2025-03-06,7,3614688,Tidak Aktif,Referensi
C113,Toko Siti Kusuma,085323751376,.siti.kusuma@outlook.com,Jl. Utama No.126,Jakarta Selatan,DKI Jakarta,12160,Bisnis,UMKM,2025-04-21,2,948446,Aktif,TikTok
C114,Toko Ratna Pratama,087367633803,.ratna.pratama@yahoo.com,Jl. Raya No.150,Depok,Jawa Barat,16400,Bisnis,UMKM,2025-07-13,7,3363584,Aktif,Website
C115,UD Joko Lestari,087839244335,joko.lestari@outlook.com,Jl. Melati No.120,Depok,Jawa Barat,16400,Bisnis,UMKM,2025-02-22,4,1077440,Tidak Aktif,Referensi
C116,CV Irwan Wijaya,085564296858,irwan.wijaya@yahoo.com,Jl. Mawar No.83,Depok,Jawa Barat,16400,Bisnis,UMKM,2025-04-21,6,4262754,Aktif,Instagram
C117,CV Rizki Hidayat,086232274554,rizki.hidayat@yahoo.com,Jl. Sentosa No.58,Jakarta Selatan,DKI Jakarta,12160,Bisnis,UMKM,2024-11-19,8,2462928,Tidak Aktif,WhatsApp
C118,UD Bambang Wijaya,083412709562,bambang.wijaya@outlook.com,Jl. Mawar No.99,Tangerang,Banten,15310,Bisnis,UMKM,2024-09-08,9,4562037,Tidak Aktif,Marketplace
C119,UD Hendra Nugroho,081537349409,hendra.nugroho@yahoo.com,Jl. Sentosa No.115,Bandung,Jawa Barat,40115,Bisnis,UMKM,2025-06-01,5,3872670,Aktif,Referensi
C120,PT Yuni Putra,087356682593,yuni.putra@outlook.com,Jl. Mawar No.12,Jakarta Selatan,DKI Jakarta,12160,Bisnis,UMKM,2025-07-16,7,4639551,Aktif,TikTok
C121,PT Andi Rahayu,084901793329,andi.rahayu@yahoo.com,Jl. Sentosa No.118,Depok,Jawa Barat,16400,Bisnis,UMKM,2024-12-04,10,7750480,Aktif,Referensi
C122,PT Wati Wijaya,082989279661,wati.wijaya@outlook.com,Jl. Raya No.38,Depok,Jawa Barat,16400,Bisnis,UMKM,2025-01-11,10,2497280,Tidak Aktif,WhatsApp
C123,PT Rudy Setiawan,087618527893,rudy.setiawan@yahoo.com,Jl. Mawar No.130,Depok,Jawa Barat,16400,Bisnis,UMKM,2024-11-30,9,7186734,Aktif,TikTok
C124,PT Ani Santoso,086562727324,ani.santoso@outlook.com,Jl. Raya No.33,Bekasi,Jawa Barat,17510,Bisnis,UMKM,2024-07-13,6,4541490,Aktif,TikTok
C125,CV Dewi Wijaya,084848016167,dewi.wijaya@gmail.com,Jl. Mawar No.122,Tangerang,Banten,15310,Bisnis,UMKM,2025-10-25,6,3538362,Aktif,Instagram
C126,Toko Doni Rahayu,085658595092,.doni.rahayu@yahoo.com,Jl. Melati No.58,Depok,Jawa Barat,16400,Bisnis,UMKM,2025-06-28,7,3091977,Aktif,Marketplace
C127,CV Irwan Permana,082224041142,irwan.permana@yahoo.com,Jl. Sentosa No.65,Jakarta Selatan,DKI Jakarta,12160,Bisnis,UMKM,2024-06-22,9,1844595,Aktif,Website
C128,CV Muhammad Rahayu,082817511746,muhammad.rahayu@gmail.com,Jl. Melati No.67,Depok,Jawa Barat,16400,Bisnis,UMKM,2025-05-27,5,991680,Tidak Aktif,TikTok
C129,PT Adi Firmansyah,087775500570,adi.firmansyah@yahoo.com,Jl. Raya No.6,Jakarta Selatan,DKI Jakarta,12160,Bisnis,UMKM,2025-04-08,4,862076,Aktif,Website
C130,CV Rina Putra,088670156182,rina.putra@outlook.com,Jl. Mawar No.61,Depok,Jawa Barat,16400,Bisnis,UMKM,2025-06-09,4,2611460,Aktif,Instagram
C131,Toko Fitri Hidayat,084619046716,.fitri.hidayat@outlook.com,Jl. Melati No.7,Jakarta Timur,DKI Jakarta,13220,Bisnis,UMKM,2024-07-26,2,579784,Aktif,TikTok
C132,UD Fitri Wijaya,089062983634,fitri.wijaya@yahoo.com,Jl. Raya No.91,Bekasi,Jawa Barat,17510,Bisnis,UMKM,2025-06-28,3,2116356,Tidak Aktif,Website
C133,Toko Faisal Pratama,089652905423,.faisal.pratama@outlook.com,Jl. Mawar No.42,Depok,Jawa Barat,16400,Bisnis,UMKM,2024-07-16,8,3265464,Aktif,TikTok
C134,CV Andi Wijaya,086169800636,andi.wijaya@outlook.com,Jl. Melati No.92,Bandung,Jawa Barat,40115,Bisnis,UMKM,2025-10-17,4,3019844,Aktif,Instagram
C135,CV Sri Putra,086474972251,sri.putra@yahoo.com,Jl. Mawar No.122,Depok,Jawa Barat,16400,Bisnis,UMKM,2024-09-23,2,982608,Aktif,WhatsApp
C136,CV Ahmad Pratama,084962991992,ahmad.pratama@outlook.com,Jl. Raya No.48,Depok,Jawa Barat,16400,Bisnis,UMKM,2024-08-18,10,4650250,Aktif,Website
C137,Toko Ani Dewi,084624103672,.ani.dewi@gmail.com,Jl. Sentosa No.143,Depok,Jawa Barat,16400,Bisnis,UMKM,2024-12-24,2,1399538,Tidak Aktif,Website
C138,PT Dewi Santoso,087897869635,dewi.santoso@gmail.com,Jl. Sentosa No.92,Bekasi,Jawa Barat,17510,Bisnis,UMKM,2025-03-17,10,3419060,Aktif,Website
C139,PT Ani Putra,083294020441,ani.putra@gmail.com,Jl. Anggrek No.33,Bekasi,Jawa Barat,17510,Bisnis,UMKM,2024-06-30,5,820600,Aktif,TikTok
C140,PT Hendra Pratama,083823947464,hendra.pratama@outlook.com,Jl. Mawar No.72,Bekasi,Jawa Barat,17510,Bisnis,UMKM,2024-05-21,2,879004,Aktif,Marketplace
C141,CV Lina Rahayu,088094017320,lina.rahayu@outlook.com,Jl. Utama No.137,Tangerang,Banten,15310,Bisnis,UMKM,2024-09-03,6,4509744,Aktif,Marketplace
C142,UD Tuti Kusuma,087847519833,tuti.kusuma@gmail.com,Jl. Raya No.20,Jakarta Selatan,DKI Jakarta,12160,Bisnis,UMKM,2025-02-03,6,2107284,Aktif,Referensi
C143,UD Rizki Wati,086403280434,rizki.wati@gmail.com,Jl. Sentosa No.17,Tangerang,Banten,15310,Bisnis,UMKM,2025-05-04,10,2294890,Aktif,Marketplace
C144,PT Yuni Nugroho,089319670202,yuni.nugroho@outlook.com,Jl. Utama No.57,Tangerang,Banten,15310,Bisnis,UMKM,2025-07-17,7,4901911,Aktif,Instagram
C145,UD Muhammad Sari,082387633695,muhammad.sari@yahoo.com,Jl. Utama No.52,Depok,Jawa Barat,16400,Bisnis,UMKM,2025-06-07,8,3661840,Aktif,WhatsApp
C146,Toko Ayu Wati,088644244473,.ayu.wati@outlook.com,Jl. Utama No.122,Jakarta Selatan,DKI Jakarta,12160,Bisnis,UMKM,2024-10-24,7,4495449,Aktif,Referensi
C147,Toko Irwan Dewi,081264411390,.irwan.dewi@outlook.com,Jl. Sentosa No.125,Depok,Jawa Barat,16400,Bisnis,UMKM,2024-06-03,9,3710214,Tidak Aktif,Referensi
C148,CV Doni Rahayu,089621717100,doni.rahayu@outlook.com,Jl. Mawar No.150,Depok,Jawa Barat,16400,Bisnis,UMKM,2024-05-12,7,3186421,Aktif,WhatsApp
C149,UD Sri Rahayu,085825270226,sri.rahayu@yahoo.com,Jl. Mawar No.92,Depok,Jawa Barat,16400,Bisnis,UMKM,2025-01-10,9,5388822,Tidak Aktif,WhatsApp
C150,CV Hadi Putri,088886731962,hadi.putri@yahoo.com,Jl. Mawar No.109,Depok,Jawa Barat,16400,Bisnis,UMKM,2024-07-19,10,6517780,Aktif,Marketplace
